code,rose_3y,rank_3y,rank_r_3y,name,rose_2y,rank_2y,rank_r_2y,rose_1y,rank_1y,rank_r_1y,rose_6m,rank_6m,rank_r_6m,rose_3m,rank_3m,rank_r_3m
000737,1.89,5915,0.7800342872214163,诺安聚利债券C,1.89,5914,0.779902413292892,1.89,5914,0.779902413292892,1.89,5915,0.7800342872214163,1.89,5915,0.7800342872214163
000745,1.98,5822,0.7677700118686536,北信瑞丰稳定收益C,1.98,5822,0.7677700118686536,1.98,5822,0.7677700118686536,1.98,5822,0.7677700118686536,1.98,5822,0.7677700118686536
000791,1.62,6174,0.814189634709218,银华安颐中短债双月持有期债券C,1.62,6174,0.814189634709218,1.62,6174,0.814189634709218,1.62,6174,0.814189634709218,1.62,6174,0.814189634709218
000796,77.31,871,0.11486219174469207,宝盈睿丰创新混合C,77.31,869,0.11459844388764341,77.31,869,0.11459844388764341,77.31,871,0.11486219174469207,77.31,871,0.11486219174469207
000802,1.32,6407,0.844916260055387,中金纯债C,1.32,6405,0.8446525121983384,1.32,6405,0.8446525121983384,1.32,6407,0.844916260055387,1.32,6407,0.844916260055387
000812,10.21,4600,0.6066200712119214,富国收益增强债券C,10.21,4600,0.6066200712119214,10.21,4600,0.6066200712119214,10.21,4600,0.6066200712119214,10.21,4600,0.6066200712119214
000814,1.04,6496,0.8566530396940525,鑫元合享纯债C,1.04,6496,0.8566530396940525,1.04,6496,0.8566530396940525,1.04,6496,0.8566530396940525,1.04,6496,0.8566530396940525
000825,35.38,3204,0.4225240669919557,圆信永丰双利C,35.38,3205,0.42265594092048003,35.38,3205,0.42265594092048003,35.38,3204,0.4225240669919557,35.38,3204,0.4225240669919557
000833,1.58,6215,0.8195964657787156,易方达富华纯债C,1.58,6212,0.8192008439931425,1.58,6212,0.8192008439931425,1.58,6215,0.8195964657787156,1.58,6215,0.8195964657787156
000840,1.53,6264,0.8260582882764077,摩根纯债丰利债券C,1.53,6262,0.8257945404193591,1.53,6262,0.8257945404193591,1.53,6264,0.8260582882764077,1.53,6264,0.8260582882764077
000843,8.99,4712,0.6213899512066464,富国新回报灵活配置混合C,8.99,4712,0.6213899512066464,8.99,4712,0.6213899512066464,8.99,4712,0.6213899512066464,8.99,4712,0.6213899512066464
000850,74.88,953,0.12567585388368718,汇丰晋信双核策略混合C,71.19,1085,0.14308321244889885,71.19,1085,0.14308321244889885,74.88,953,0.12567585388368718,74.88,953,0.12567585388368718
000876,6.34,5009,0.6605565079783727,建信稳定得利债券C,6.34,5009,0.6605565079783727,6.34,5009,0.6605565079783727,6.34,5009,0.6605565079783727,6.34,5009,0.6605565079783727
000879,39.24,2929,0.3862587366477647,中海医药健康产业精选混合C,39.24,2929,0.3862587366477647,39.24,2929,0.3862587366477647,39.24,2929,0.3862587366477647,39.24,2929,0.3862587366477647
000897,1.8,6009,0.7924304365027034,鑫元聚鑫收益增强C,1.8,6008,0.7922985625741791,1.8,6008,0.7922985625741791,1.8,6009,0.7924304365027034,1.8,6009,0.7924304365027034
000899,1.87,5945,0.7839905050771463,华富恒稳纯债债券C,1.87,5943,0.7837267572200975,1.87,5943,0.7837267572200975,1.87,5945,0.7839905050771463,1.87,5945,0.7839905050771463
000910,1.47,6322,0.8337069761308189,鑫元合丰纯债C,1.47,6321,0.8335751022022946,1.47,6321,0.8335751022022946,1.47,6322,0.8337069761308189,1.47,6322,0.8337069761308189
000933,9.57,4658,0.6142687590663326,前海开源睿远稳健增利混合C,9.57,4659,0.6144006329948569,9.57,4659,0.6144006329948569,9.57,4658,0.6142687590663326,9.57,4658,0.6142687590663326
000946,45.28,2448,0.32282737702756165,华夏医疗健康混合C,45.28,2447,0.32269550309903733,45.28,2447,0.32269550309903733,45.28,2448,0.32282737702756165,45.28,2448,0.32282737702756165
000995,39.96,2868,0.3782144270077806,建信睿盈灵活配置混合C,39.96,2866,0.3779506791507319,39.96,2866,0.3779506791507319,39.96,2868,0.3782144270077806,39.96,2868,0.3782144270077806
000998,6.42,5001,0.6595015165501781,南方双元C,6.42,5001,0.6595015165501781,6.42,5001,0.6595015165501781,6.42,5001,0.6595015165501781,6.42,5001,0.6595015165501781
001003,5.08,5140,0.67783199261506,华夏债券C,5.08,5139,0.6777001186865357,5.08,5139,0.6777001186865357,5.08,5140,0.67783199261506,5.08,5140,0.67783199261506
001013,5.49,5100,0.6725570354740867,华夏希望债券C,5.49,5099,0.6724251615455624,5.49,5099,0.6724251615455624,5.49,5100,0.6725570354740867,5.49,5100,0.6725570354740867
001016,44.97,2472,0.3259923513121456,华夏沪深300指数增强C,44.97,2470,0.3257286034550969,44.97,2470,0.3257286034550969,44.97,2472,0.3259923513121456,44.97,2472,0.3259923513121456
001023,1.98,5819,0.7673743900830806,华夏亚债中国指数C,1.98,5818,0.7672425161545563,1.98,5818,0.7672425161545563,1.98,5819,0.7673743900830806,1.98,5819,0.7673743900830806
001033,1.44,6341,0.8362125807727813,华夏安康债券C,1.44,6340,0.8360807068442568,1.44,6340,0.8360807068442568,1.44,6341,0.8362125807727813,1.44,6341,0.8362125807727813
001063,5.67,5088,0.6709745483317948,华夏收益债券(QDII)C,5.67,5087,0.6708426744032705,5.67,5087,0.6708426744032705,5.67,5088,0.6709745483317948,5.67,5088,0.6709745483317948
001087,24.73,3799,0.5009890544639325,华富恒利债券C,24.73,3797,0.5007253066068839,24.73,3797,0.5007253066068839,24.73,3799,0.5009890544639325,24.73,3799,0.5009890544639325
001111,30.37,3501,0.4616906237636819,中欧瑾泉灵活配置混合C,30.37,3501,0.4616906237636819,30.37,3501,0.4616906237636819,30.37,3501,0.4616906237636819,30.37,3501,0.4616906237636819
001116,7.41,4875,0.6428854015561124,广发聚安混合C,7.41,4873,0.6426216536990637,7.41,4873,0.6426216536990637,7.41,4875,0.6428854015561124,7.41,4875,0.6428854015561124
001121,25.46,3761,0.4959778451800079,东方睿鑫热点挖掘混合C,25.46,3759,0.49571409732295924,25.46,3759,0.49571409732295924,25.46,3761,0.4959778451800079,25.46,3761,0.4959778451800079
001123,15.08,4258,0.5615191876566002,鹏华弘利混合C,15.08,4259,0.5616510615851246,15.08,4259,0.5616510615851246,15.08,4258,0.5615191876566002,15.08,4258,0.5615191876566002
001124,4.67,5192,0.6846894368983252,融通增强收益债券C,4.67,5192,0.6846894368983252,4.67,5192,0.6846894368983252,4.67,5192,0.6846894368983252,4.67,5192,0.6846894368983252
001147,18.11,4103,0.541078728735329,中欧瑾源灵活配置混合C,18.11,4103,0.541078728735329,18.11,4103,0.541078728735329,18.11,4103,0.541078728735329,18.11,4103,0.541078728735329
001149,33.65,3303,0.43557958591586443,汇丰晋信恒生龙头指数C,34.32,3267,0.4308321244889885,34.32,3267,0.4308321244889885,33.65,3303,0.43557958591586443,33.65,3303,0.43557958591586443
001165,4.61,5199,0.6856125543979955,中欧琪和灵活配置混合C,4.61,5199,0.6856125543979955,4.61,5199,0.6856125543979955,4.61,5199,0.6856125543979955,4.61,5199,0.6856125543979955
001174,96.7,424,0.05591454569431623,中欧瑾和灵活配置混合C,96.7,423,0.0557826717657919,96.7,423,0.0557826717657919,96.7,424,0.05591454569431623,96.7,424,0.05591454569431623
001191,2.46,5552,0.7321640511670843,鹏华弘润混合C,2.46,5551,0.73203217723856,2.46,5551,0.73203217723856,2.46,5552,0.7321640511670843,2.46,5552,0.7321640511670843
001200,1.8,6016,0.7933535540023737,创金合信聚利债券C,1.8,6015,0.7932216800738494,1.8,6015,0.7932216800738494,1.8,6016,0.7933535540023737,1.8,6016,0.7933535540023737
001204,15.33,4238,0.5588817090861137,东方红稳健精选混合C,15.33,4239,0.559013583014638,15.33,4239,0.559013583014638,15.33,4238,0.5588817090861137,15.33,4238,0.5588817090861137
001213,1.04,6495,0.8565211657655282,华润元大稳健债券C,1.04,6495,0.8565211657655282,1.04,6495,0.8565211657655282,1.04,6495,0.8565211657655282,1.04,6495,0.8565211657655282
001217,34.07,3286,0.4333377291309508,易方达新收益混合C,34.07,3287,0.43346960305947513,34.07,3287,0.43346960305947513,34.07,3286,0.4333377291309508,34.07,3286,0.4333377291309508
001258,20.39,4008,0.5285507055255176,兴业收益增强债券C,20.39,4009,0.528682579454042,20.39,4009,0.528682579454042,20.39,4008,0.5285507055255176,20.39,4008,0.5285507055255176
001301,43.38,2591,0.34168534880654094,大成睿景灵活配置混合C,43.38,2594,0.34208097059211395,43.38,2594,0.34208097059211395,43.38,2591,0.34168534880654094,43.38,2591,0.34168534880654094
001307,42.12,2700,0.356059607015693,中欧永裕混合C,42.12,2700,0.356059607015693,42.12,2700,0.356059607015693,42.12,2700,0.356059607015693,42.12,2700,0.356059607015693
001326,82.27,732,0.0965317156798101,鹏华弘和混合C,82.27,729,0.0961360938942371,82.27,729,0.0961360938942371,82.27,732,0.0965317156798101,82.27,732,0.0965317156798101
001328,3.2,5388,0.710536726889094,鹏华弘华混合C,3.2,5388,0.710536726889094,3.2,5388,0.710536726889094,3.2,5388,0.710536726889094,3.2,5388,0.710536726889094
001330,1.84,5977,0.7882104707899248,鹏华弘实混合C,1.84,5970,0.7872873532902546,1.84,5970,0.7872873532902546,1.84,5977,0.7882104707899248,1.84,5977,0.7882104707899248
001332,2.23,5658,0.7461426875906634,鹏华弘信混合C,2.23,5658,0.7461426875906634,2.23,5658,0.7461426875906634,2.23,5658,0.7461426875906634,2.23,5658,0.7461426875906634
001337,8.85,4730,0.6237636819200844,鹏华弘益混合C,8.85,4730,0.6237636819200844,8.85,4730,0.6237636819200844,8.85,4730,0.6237636819200844,8.85,4730,0.6237636819200844
001338,12.5,4428,0.5839377555057366,安信稳健增值混合C,12.5,4429,0.5840696294342609,12.5,4429,0.5840696294342609,12.5,4428,0.5839377555057366,12.5,4428,0.5839377555057366
001343,6.92,4938,0.6511934590531452,易方达新享混合C,6.92,4938,0.6511934590531452,6.92,4938,0.6511934590531452,6.92,4938,0.6511934590531452,6.92,4938,0.6511934590531452
001347,20.89,3979,0.524726361598312,富国新收益灵活配置混合C,20.89,3978,0.5245944876697877,20.89,3978,0.5245944876697877,20.89,3979,0.524726361598312,20.89,3979,0.524726361598312
001356,2.61,5505,0.7259659765264407,广发聚泰混合C,2.61,5504,0.7258341025979164,2.61,5504,0.7258341025979164,2.61,5505,0.7259659765264407,2.61,5505,0.7259659765264407
001375,27.36,3658,0.48239483054200183,金元顺安优质精选混合C,27.36,3657,0.4822629566134775,27.36,3657,0.4822629566134775,27.36,3658,0.48239483054200183,27.36,3658,0.48239483054200183
001376,27.84,3641,0.4801529737570882,泓德泓富混合C,27.84,3639,0.4798892259000396,27.84,3639,0.4798892259000396,27.84,3641,0.4801529737570882,27.84,3641,0.4801529737570882
001379,10.72,4560,0.6013451140709482,景顺长城领先回报混合C,10.72,4561,0.6014769879994725,10.72,4561,0.6014769879994725,10.72,4560,0.6013451140709482,10.72,4560,0.6013451140709482
001380,11.24,4526,0.5968614005011209,鹏华弘盛混合C,11.24,4527,0.5969932744296452,11.24,4527,0.5969932744296452,11.24,4526,0.5968614005011209,11.24,4526,0.5968614005011209
001381,29.91,3532,0.46577871554793615,鹏华弘泽混合C,29.91,3532,0.46577871554793615,29.91,3532,0.46577871554793615,29.91,3532,0.46577871554793615,29.91,3532,0.46577871554793615
001385,29.77,3539,0.4667018330476065,东方新思路混合C,29.77,3537,0.46643808519055785,29.77,3537,0.46643808519055785,29.77,3539,0.4667018330476065,29.77,3539,0.4667018330476065
001388,56.45,1735,0.22880126598971384,国联新经济混合C,56.45,1730,0.22814189634709217,56.45,1730,0.22814189634709217,56.45,1735,0.22880126598971384,56.45,1735,0.22880126598971384
001393,31.79,3425,0.4516682051958328,国富金融地产混合C,31.79,3424,0.45153633126730847,31.79,3424,0.45153633126730847,31.79,3425,0.4516682051958328,31.79,3425,0.4516682051958328
001400,3.16,5396,0.7115917183172886,安信鑫安得利混合C,3.16,5396,0.7115917183172886,3.16,5396,0.7115917183172886,3.16,5396,0.7115917183172886,3.16,5396,0.7115917183172886
001406,15.21,4249,0.5603323222998813,东方红策略精选混合C,15.21,4250,0.5604641962284056,15.21,4250,0.5604641962284056,15.21,4249,0.5603323222998813,15.21,4249,0.5603323222998813
001407,183.21,10,0.0013187392852433075,景顺长城稳健回报混合C,183.21,10,0.0013187392852433075,183.21,10,0.0013187392852433075,183.21,10,0.0013187392852433075,183.21,10,0.0013187392852433075
001414,19.54,4042,0.5330344190953449,国联鑫起点混合C,19.54,4041,0.5329025451668206,19.54,4041,0.5329025451668206,19.54,4042,0.5330344190953449,19.54,4042,0.5330344190953449
001423,8.8,4735,0.624423051562706,景顺长城安享回报混合C,8.8,4735,0.624423051562706,8.8,4735,0.624423051562706,8.8,4735,0.624423051562706,8.8,4735,0.624423051562706
001426,85.4,662,0.08730054068310696,南方大数据300C,85.4,658,0.08677304496900963,85.4,658,0.08677304496900963,85.4,662,0.08730054068310696,85.4,662,0.08730054068310696
001446,30.76,3476,0.45839377555057365,招商丰泽混合C,30.76,3476,0.45839377555057365,30.76,3476,0.45839377555057365,30.76,3476,0.45839377555057365,30.76,3476,0.45839377555057365
001454,18.41,4090,0.5393643676645127,鹏华弘鑫混合C,18.41,4090,0.5393643676645127,18.41,4090,0.5393643676645127,18.41,4090,0.5393643676645127,18.41,4090,0.5393643676645127
001467,74.61,968,0.12765396281155217,华富永鑫灵活配置混合C,74.61,966,0.1273902149545035,74.61,966,0.1273902149545035,74.61,968,0.12765396281155217,74.61,968,0.12765396281155217
001489,26.36,3717,0.49017539232493734,万家瑞丰灵活配置混合C,26.3,3718,0.4903072662534617,26.3,3718,0.4903072662534617,26.36,3717,0.49017539232493734,26.36,3717,0.49017539232493734
001503,5.79,5073,0.6689964394039298,南方利鑫C,5.79,5073,0.6689964394039298,5.79,5073,0.6689964394039298,5.79,5073,0.6689964394039298,5.79,5073,0.6689964394039298
001504,10.11,4615,0.6085981801397864,南方利淘C,10.11,4615,0.6085981801397864,10.11,4615,0.6085981801397864,10.11,4615,0.6085981801397864,10.11,4615,0.6085981801397864
001505,17.26,4139,0.5458261901622049,南方利众C,17.26,4141,0.5460899380192535,17.26,4141,0.5460899380192535,17.26,4139,0.5458261901622049,17.26,4139,0.5458261901622049
001510,42.96,2622,0.3457734405907952,富国新动力灵活配置混合C,42.96,2622,0.3457734405907952,42.96,2622,0.3457734405907952,42.96,2622,0.3457734405907952,42.96,2622,0.3457734405907952
001515,70.75,1101,0.14519319530528815,平安新鑫先锋C,70.75,1096,0.14453382566266648,70.75,1096,0.14453382566266648,70.75,1101,0.14519319530528815,70.75,1101,0.14519319530528815
001523,27.56,3652,0.48160358697085587,博时新策略灵活配置混合C,27.56,3651,0.48147171304233155,27.56,3651,0.48147171304233155,27.56,3652,0.48160358697085587,27.56,3652,0.48160358697085587
001549,34.56,3261,0.43004088091784254,天弘上证50ETF联接C,34.56,3258,0.42964525913226953,34.56,3258,0.42964525913226953,34.56,3261,0.43004088091784254,34.56,3261,0.43004088091784254
001551,35.81,3182,0.4196228405644204,天弘中证医药100C,35.81,3183,0.41975471449294477,35.81,3183,0.41975471449294477,35.81,3182,0.4196228405644204,35.81,3182,0.4196228405644204
001553,49.2,2181,0.28761703811156536,天弘中证证券保险C,49.2,2181,0.28761703811156536,49.2,2181,0.28761703811156536,49.2,2181,0.28761703811156536,49.2,2181,0.28761703811156536
001557,65.04,1316,0.17354608993801926,天弘中证500指数增强C,65.04,1312,0.17301859422392193,65.04,1312,0.17301859422392193,65.04,1316,0.17354608993801926,65.04,1316,0.17354608993801926
